model,method,n,lambda,r,pow_mean,pow_sd,uncomputable
zip,countfitteR,50,2,0.1,0.86,0.34873508801977704,0
zip,countfitteR,100,2,0.1,0.87,0.33799766898963113,0
zip,countfitteR,200,2,0.1,0.98,0.14070529413628968,0
zip,countfitteR,50,5,0.1,0.93,0.2564323999762428,0
zip,countfitteR,100,5,0.1,0.98,0.14070529413628968,0
zip,countfitteR,200,5,0.1,1,0,0
zip,countfitteR,50,10,0.1,0.96,0.19694638556693236,0
zip,countfitteR,100,10,0.1,0.97,0.1714466079977653,0
zip,countfitteR,200,10,0.1,1,0,0
zip,countfitteR,50,2,0.2,0.93,0.2564323999762428,0
zip,countfitteR,100,2,0.2,0.92,0.27265992434429076,0
zip,countfitteR,200,2,0.2,0.98,0.14070529413628968,0
zip,countfitteR,50,5,0.2,1,0,0
zip,countfitteR,100,5,0.2,1,0,0
zip,countfitteR,200,5,0.2,0.98,0.14070529413628968,0
zip,countfitteR,50,10,0.2,0.99,0.1,0
zip,countfitteR,100,10,0.2,1,0,0
zip,countfitteR,200,10,0.2,0.99,0.1,0
zip,countfitteR,50,2,0.30000000000000004,0.88,0.3265986323710904,0
zip,countfitteR,100,2,0.30000000000000004,0.96,0.19694638556693236,0
zip,countfitteR,200,2,0.30000000000000004,0.97,0.1714466079977653,0
zip,countfitteR,50,5,0.30000000000000004,0.99,0.1,0
zip,countfitteR,100,5,0.30000000000000004,1,0,0
zip,countfitteR,200,5,0.30000000000000004,1,0,0
zip,countfitteR,50,10,0.30000000000000004,0.97,0.1714466079977653,0
zip,countfitteR,100,10,0.30000000000000004,0.99,0.1,0
zip,countfitteR,200,10,0.30000000000000004,1,0,0
zip,countfitteR,50,2,0.4,0.91,0.28762349126466136,0
zip,countfitteR,100,2,0.4,0.96,0.19694638556693236,0
zip,countfitteR,200,2,0.4,0.96,0.19694638556693236,0
zip,countfitteR,50,5,0.4,0.99,0.1,0
zip,countfitteR,100,5,0.4,0.99,0.1,0
zip,countfitteR,200,5,0.4,0.97,0.1714466079977653,0
zip,countfitteR,50,10,0.4,0.99,0.1,0
zip,countfitteR,100,10,0.4,1,0,0
zip,countfitteR,200,10,0.4,1,0,0
zip,countfitteR,50,2,0.5,0.85,0.3588702812826367,0
zip,countfitteR,100,2,0.5,0.93,0.2564323999762428,0
zip,countfitteR,200,2,0.5,0.97,0.1714466079977653,0
zip,countfitteR,50,5,0.5,0.99,0.1,0
zip,countfitteR,100,5,0.5,1,0,0
zip,countfitteR,200,5,0.5,1,0,0
zip,countfitteR,50,10,0.5,0.99,0.1,0
zip,countfitteR,100,10,0.5,1,0,0
