model,method,n,lambda,size,pow_mean,pow_sd,uncomputable
nb,countfitteR,50,2,1,0.96,0.19694638556693236,0
nb,countfitteR,100,2,1,0.97,0.1714466079977653,0
nb,countfitteR,200,2,1,0.99,0.1,0
nb,countfitteR,50,2,2,0.72,0.451260859854213,0
nb,countfitteR,100,2,2,0.94,0.23868325657594203,0
nb,countfitteR,200,2,2,1,0,0
nb,countfitteR,50,2,4,0.43,0.49756985195624304,0
nb,countfitteR,100,2,4,0.68,0.4688261722621507,0
nb,countfitteR,200,2,4,0.85,0.3588702812826367,0
nb,countfitteR,50,5,2.5,0.96,0.19694638556693236,0
nb,countfitteR,100,5,2.5,0.97,0.1714466079977653,0
nb,countfitteR,200,5,2.5,1,0,0
nb,countfitteR,50,5,5,0.79,0.40936018074033237,0
nb,countfitteR,100,5,5,0.98,0.14070529413628968,0
nb,countfitteR,200,5,5,1,0,0
nb,countfitteR,50,5,10,0.53,0.5016135580465919,0
nb,countfitteR,100,5,10,0.73,0.4461960433384737,0
nb,countfitteR,200,5,10,0.94,0.23868325657594203,0
nb,countfitteR,50,10,5,0.99,0.1,0
nb,countfitteR,100,10,5,0.97,0.1714466079977653,0
nb,countfitteR,200,10,5,0.98,0.14070529413628968,0
nb,countfitteR,50,10,10,0.88,0.32659863237109044,0
nb,countfitteR,100,10,10,0.98,0.14070529413628968,0
nb,countfitteR,200,10,10,0.99,0.1,0
nb,countfitteR,50,10,20,0.53,0.5016135580465919,0
nb,countfitteR,100,10,20,0.81,0.3942772444036626,0
nb,countfitteR,200,10,20,0.98,0.14070529413628968,0
nb,two-step,50,2,1,1,0,0
nb,two-step,100,2,1,1,0,0
nb,two-step,200,2,1,1,0,0
nb,two-step,50,2,2,0.85,0.3588702812826367,0
nb,two-step,100,2,2,1,0,0
nb,two-step,200,2,2,1,0,0
nb,two-step,50,2,4,0.49,0.5024183937956914,0
nb,two-step,100,2,4,0.76,0.42923469599092784,0
nb,two-step,200,2,4,0.96,0.19694638556693236,0
nb,two-step,50,5,2.5,1,0,6
nb,two-step,100,5,2.5,1,0,0
nb,two-step,200,5,2.5,1,0,0
nb,two-step,50,5,5,0.9512195121951219,0.21673440675482064,18
nb,two-step,100,5,5,1,0,5
nb,two-step,200,5,5,1,0,0
nb,two-step,50,5,10,0.6981132075471698,0.46346959324282283,47
nb,two-step,100,5,10,0.8255813953488372,0.3816946875099576,14
nb,two-step,200,5,10,0.9896907216494846,0.1015346165133619,3
nb,two-step,50,10,5,1,0,80
nb,two-step,100,10,5,1,0,75
nb,two-step,200,10,5,1,0,42
nb,two-step,50,10,10,1,0,98
nb,two-step,100,10,10,1,0,88
nb,two-step,200,10,10,1,0,78
nb,two-step,50,10,20,1,0,97
nb,two-step,100,10,20,NaN,NA,100
nb,two-step,200,10,20,1,0,95
