model,method,n,lambda,size,r,pow_mean,pow_sd,uncomputable
zinb,countfitteR,50,2,1,0.1,0,0,0
zinb,countfitteR,100,2,1,0.1,0,0,0
zinb,countfitteR,200,2,1,0.1,0.01,0.1,0
zinb,countfitteR,50,2,2,0.1,0,0,0
zinb,countfitteR,100,2,2,0.1,0,0,0
zinb,countfitteR,200,2,2,0.1,0,0,0
zinb,countfitteR,50,2,4,0.1,0,0,0
zinb,countfitteR,100,2,4,0.1,0,0,0
zinb,countfitteR,200,2,4,0.1,0,0,0
zinb,countfitteR,50,5,2.5,0.1,0.08,0.27265992434429076,0
zinb,countfitteR,100,5,2.5,0.1,0.12,0.3265986323710904,0
zinb,countfitteR,200,5,2.5,0.1,0.41,0.49431107042371036,0
zinb,countfitteR,50,5,5,0.1,0,0,0
zinb,countfitteR,100,5,5,0.1,0.07,0.2564323999762428,0
zinb,countfitteR,200,5,5,0.1,0.29,0.45604802157206864,0
zinb,countfitteR,50,5,10,0.1,0.01,0.1,0
zinb,countfitteR,100,5,10,0.1,0.05,0.2190429135575903,0
zinb,countfitteR,200,5,10,0.1,0.22,0.41633319989322654,0
zinb,countfitteR,50,10,5,0.1,0.28,0.451260859854213,0
zinb,countfitteR,100,10,5,0.1,0.51,0.5024183937956914,0
zinb,countfitteR,200,10,5,0.1,0.81,0.3942772444036626,0
zinb,countfitteR,50,10,10,0.1,0.13,0.33799766898963113,0
zinb,countfitteR,100,10,10,0.1,0.28,0.451260859854213,0
zinb,countfitteR,200,10,10,0.1,0.41,0.49431107042371036,0
zinb,countfitteR,50,10,20,0.1,0.03,0.1714466079977653,0
zinb,countfitteR,100,10,20,0.1,0.09,0.28762349126466136,0
zinb,countfitteR,200,10,20,0.1,0.15,0.3588702812826367,0
zinb,countfitteR,50,2,1,0.2,0,0,0
zinb,countfitteR,100,2,1,0.2,0,0,0
zinb,countfitteR,200,2,1,0.2,0.02,0.14070529413628968,0
zinb,countfitteR,50,2,2,0.2,0,0,0
zinb,countfitteR,100,2,2,0.2,0,0,0
zinb,countfitteR,200,2,2,0.2,0.05,0.2190429135575903,0
zinb,countfitteR,50,2,4,0.2,0,0,0
zinb,countfitteR,100,2,4,0.2,0,0,0
zinb,countfitteR,200,2,4,0.2,0,0,0
zinb,countfitteR,50,5,2.5,0.2,0.21,0.40936018074033237,0
zinb,countfitteR,100,5,2.5,0.2,0.64,0.4824181513244218,0
